timestamp,asset_id,sensor_name,value,unit,normal_min,normal_max,warning_threshold,critical_threshold,status,source_dataset
2026-01-16T08:00:00,P-101,vibration,4.1,mm/s,0,4.5,6.0,7.5,Normal,UCI_AI4I_Mapped
2026-01-17T08:00:00,P-101,vibration,4.8,mm/s,0,4.5,6.0,7.5,Warning,UCI_AI4I_Mapped
2026-01-18T08:00:00,P-101,vibration,5.7,mm/s,0,4.5,6.0,7.5,Warning,UCI_AI4I_Mapped
2026-01-19T08:00:00,P-101,vibration,6.4,mm/s,0,4.5,6.0,7.5,Warning,UCI_AI4I_Mapped
2026-01-20T08:00:00,P-101,vibration,7.2,mm/s,0,4.5,6.0,7.5,Warning,UCI_AI4I_Mapped
2026-01-21T08:00:00,P-101,vibration,7.8,mm/s,0,4.5,6.0,7.5,Critical,UCI_AI4I_Mapped
2026-02-10T08:00:00,C-201,estimated_rul,42,cycles,50,150,40,25,Warning,NASA_CMAPSS_Mapped
2026-02-11T08:00:00,C-201,estimated_rul,39,cycles,50,150,40,25,Warning,NASA_CMAPSS_Mapped
2026-02-12T08:00:00,C-201,estimated_rul,36,cycles,50,150,40,25,Warning,NASA_CMAPSS_Mapped
2026-02-13T08:00:00,C-201,outlet_temperature,88,C,70,85,90,95,Warning,NASA_CMAPSS_Mapped
2026-02-14T08:00:00,C-201,outlet_temperature,91,C,70,85,90,95,Warning,NASA_CMAPSS_Mapped
2026-02-15T08:00:00,C-201,pressure_ratio,3.95,ratio,3.2,3.8,3.9,4.1,Warning,NASA_CMAPSS_Mapped
2026-03-01T08:00:00,HX-301,outlet_temperature,92,C,90,100,90,85,Normal,Synthetic_Process_Mapped
2026-03-02T08:00:00,HX-301,outlet_temperature,90,C,90,100,90,85,Normal,Synthetic_Process_Mapped
2026-03-03T08:00:00,HX-301,outlet_temperature,89,C,90,100,90,85,Warning,Synthetic_Process_Mapped
2026-03-04T08:00:00,HX-301,outlet_temperature,88,C,90,100,90,85,Warning,Synthetic_Process_Mapped
2026-03-05T08:00:00,HX-301,pressure_drop,1.9,bar,0.8,1.2,1.8,2.2,Warning,Synthetic_Process_Mapped
2026-03-06T08:00:00,HX-301,efficiency_index,0.71,index,0.85,1.0,0.8,0.7,Warning,Synthetic_Process_Mapped